transect,Community,canopy_cover
T2,Open shrubland,33
T2,Open shrubland,1
T2,Open shrubland,27
T2,Open shrubland,0
T2,Open shrubland,8
T2,Open shrubland,0
T2,Young forest,79
T2,Young forest,28
T2,Young forest,30
T2,Young forest,35
T2,Young forest,7
T2,Young forest,66
T2,Young forest,56
T2,Young forest,17
T2,Young forest,64
T2,Young forest,70
T2,Young forest,76
T2,Young forest,73
T2,Young forest,56
T2,Young forest,61
T2,Young forest,67
T2,Young forest,44
T2,Young forest,77
T2,Young forest,10
T2,Young forest,37
T2,Young forest,66
T2,Young forest,62
T2,Young forest,78
T2,Young forest,66
T2,Young forest,71
T2,Young forest,25
T2,Young forest,83
T2,Young forest,39
T2,Young forest,72
T2,Young forest,76
T2,Young forest,84
T2,Mature forest,63
T2,Mature forest,72
T2,Mature forest,76
T2,Mature forest,82
T2,Mature forest,75
T2,Mature forest,70
T2,Mature forest,70
T2,Mature forest,79
T2,Mature forest,73
T2,Mature forest,74
T2,Mature forest,71
T2,Mature forest,74
T2,Mature forest,72
T2,Mature forest,76
T2,Mature forest,77
T2,Mature forest,75
T2,Mature forest,69
T2,Mature forest,75
T2,Mature forest,66
T2,Mature forest,72
T2,Mature forest,79
T2,Mature forest,76
T2,Mature forest,74
T2,Mature forest,68
T2,Mature forest,75
T2,Mature forest,76
T2,Mature forest,77
T2,Mature forest,73
T2,Mature forest,75
T2,Mature forest,75
T3,Young forest,71
T3,Young forest,80
T3,Young forest,62
T3,Young forest,24
T3,Young forest,70
T3,Young forest,54
T3,Young forest,73
T3,Young forest,61
T3,Young forest,80
T3,Young forest,59
T3,Young forest,64
T3,Young forest,59
T3,Young forest,69
T3,Young forest,28
T3,Young forest,76
T3,Young forest,79
T3,Young forest,69
T3,Young forest,70
T3,Young forest,84
T3,Young forest,81
T3,Young forest,14
T3,Young forest,48
T3,Young forest,86
T3,Young forest,11
T3,Young forest,11
T3,Young forest,1
T3,Young forest,59
T3,Young forest,68
T3,Young forest,27
T3,Young forest,11
T3,Mature forest,64
T3,Mature forest,62
T3,Mature forest,43
T3,Mature forest,64
T3,Mature forest,67
T3,Mature forest,63
T3,Mature forest,69
T3,Mature forest,75
T3,Mature forest,80
T3,Mature forest,76
T3,Mature forest,83
T3,Mature forest,81
T3,Mature forest,79
T3,Mature forest,77
T3,Mature forest,76
T3,Mature forest,74
T3,Mature forest,77
T3,Mature forest,76
T3,Mature forest,67
T3,Mature forest,74
T3,Mature forest,70
T3,Mature forest,62
T3,Mature forest,70
T3,Mature forest,70
T3,Mature forest,68
T3,Mature forest,78
T3,Mature forest,84
T3,Mature forest,81
T3,Mature forest,77
T3,Mature forest,82
